Year,Flight Count
1985,86084300
1986,90880900
1987,94834300
1988,99216800
1989,100180500
1990,103915000
1991,102545500
1992,110403300
1993,122231500
1994,130543500
1995,135659300
1996,142500000
1997,147563500
1998,148477300
1999,156298400
2000,164122359
2001,168111655
2002,157218158
2003,159892791
2004,178476086
2005,183202719
2006,189778496
2007,200438470
2008,197662645
2009,203104472
2010,235025140.5
2011,244484131.5
2012,248720008.5
2013,256481282.8
2014,265923715.1
